from_name,to_name,amt
2004 JOINT STATE VICTORY COMMITTEE,ARIZONA REPUBLICAN PARTY,3
2004 JOINT STATE VICTORY COMMITTEE,ARKANSAS LEADERSHIP COMMITTEE 2004 FCRC,2
2004 JOINT STATE VICTORY COMMITTEE,MICHIGAN REPUBLICAN STATE COMMITTEE,5
2004 JOINT STATE VICTORY COMMITTEE,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,3
2004 JOINT STATE VICTORY COMMITTEE,NEVADA REPUBLICAN STATE CENTRAL COMMITTEE,1
2004 JOINT STATE VICTORY COMMITTEE,OHIO STATE CENTRAL & EXECUTIVE COMMITTEE,1
2004 JOINT STATE VICTORY COMMITTEE,OHIO VICTORY COMMITTEE,4
2004 JOINT STATE VICTORY COMMITTEE,OREGON REPUBLICAN PARTY,2
2004 JOINT STATE VICTORY COMMITTEE,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,7
2004 JOINT STATE VICTORY COMMITTEE,REPUBLICAN PARTY OF FLORIDA,9
2004 JOINT STATE VICTORY COMMITTEE,REPUBLICAN PARTY OF IOWA,2
2004 JOINT STATE VICTORY COMMITTEE,REPUBLICAN PARTY OF MINNESOTA,2
2004 JOINT STATE VICTORY COMMITTEE,REPUBLICAN PARTY OF WISCONSIN,3
2004 JOINT STATE VICTORY COMMITTEE,WASHINGTON STATE REPUBLICAN PARTY,1
2004 JOINT STATE VICTORY COMMITTEE,WV REPUBLICAN STATE EXEC COMMITTEE,1
"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES - P E O P L E, QUALIFIED","DEAN, HOWARD",11
"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES - P E O P L E, QUALIFIED","KERRY, JOHN F",11
"""CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE/FEDERAL (CREPAC/FEDERAL) AKA """"99 CLUB""""""",NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,1
DEFENDERS OF WILDLIFE ACTION FUND,"KERRY, JOHN F",1
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,"KERRY, JOHN F",456
EDWARDS FOR SENATE,EDWARDS FOR PRESIDENT,1
ENVIRONMENT2004 INC PAC,"KERRY, JOHN F",1
FRIENDS FOR HARRY REID,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,3
FRIENDS FOR HARRY REID,NEVADA STATE DEMOCRATIC PARTY,2
FRIENDS OF JOHN KERRY,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,3
FRIENDS OF ROY BLUNT,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,2
FRIENDS OF ROY BLUNT,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,1
