from_name,to_name,amt
FRIENDS OF SCHUMER,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,7
GEORGIANS FOR ISAKSON,GEORGIANS FOR ISAKSON,3
HASTERT FOR CONGRESS COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
HOYER FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,1
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,"KERRY, JOHN F",2
"JOHN KERRY FOR PRESIDENT, INC",DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA,3
"JOHN KERRY FOR PRESIDENT, INC",DEMOCRATIC PARTY OF WISCONSIN FEDERAL ACCOUNT,2
"JOHN KERRY FOR PRESIDENT, INC",DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,10
"JOHN KERRY FOR PRESIDENT, INC",DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,36
"JOHN KERRY FOR PRESIDENT, INC",MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE/FED ACCT,5
"JOHN KERRY FOR PRESIDENT, INC",NEVADA STATE DEMOCRATIC PARTY,1
"JOHN KERRY FOR PRESIDENT, INC",PENNSYLVANIA DEMOCRATIC PARTY,3
KERRY VICTORY 2004,"JOHN KERRY FOR PRESIDENT, INC",47
LEWIS FOR CONGRESS COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,"KERRY, JOHN F",1
MENENDEZ FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,1
MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,1
MISSOURIANS FOR KIT BOND,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,1
MOVEON PAC,"KERRY, JOHN F",41
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION POLITICAL ACTION COMMITTEE (AKA NATCA PAC),"KERRY, JOHN F",3
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,"BUSH, GEORGE W",10
NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,"KERRY, JOHN F",3
NRA POLITICAL VICTORY FUND,"BUSH, GEORGE W",17
REPUBLICAN NATIONAL COMMITTEE,"BUSH, GEORGE W",114
REPUBLICAN PARTY OF FLORIDA,"BUSH, GEORGE W",6
"RICHARD BURR COMMITTEE, THE",RICHARD BURR COMMITTEE,5
SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE),"KERRY, JOHN F",10
STEPHEN ADAMS,"BUSH, GEORGE W",6
TAKE BACK AMERICA SERVICE EMPLOYEES INTERNATIONAL UNION,"DEAN, HOWARD",3
UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),"KERRY, JOHN F",17
