id,aff,type
"CHRISTIE, CHRISTOPHER J",REP,CAN
AMERICA LEADS,UNK,COM
"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",DEM,CAN
AMERICAN FUTURE FUND,UNK,COM
CLUB FOR GROWTH ACTION,UNK,COM
CONSERVATIVE SOLUTIONS PAC,UNK,COM
"""CRUZ, RAFAEL EDWARD """"TED""""""",REP,CAN
"RUBIO, MARCO",REP,CAN
"FIORINA, CARLY",REP,CAN
"CONSERVATIVE, AUTHENTIC, RESPONSIVE LEADERSHIP FOR YOU AND FOR AMERICA",UNK,COM
DCCC,DEM,COM
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM,COM
FOR OUR FUTURE,UNK,COM
DSCC,DEM,COM
FRIENDS OF SCHUMER,DEM,COM
"TRUMP, DONALD J. / MICHAEL R. PENCE ",REP,CAN
FUTURE45,UNK,COM
GREAT AMERICA PAC,UNK,COM
IMMIGRANT VOTERS WIN PAC,UNK,COM
KEEP THE PROMISE III,UNK,COM
LCV VICTORY FUND,UNK,COM
NEW AMERICAN JOBS FUND,UNK,COM
LIFT LEADING ILLINOIS FOR TOMORROW,UNK,COM
PRIORITIES USA ACTION,UNK,COM
LIUNA BUILDING AMERICA,UNK,COM
MAKE AMERICA NUMBER 1,UNK,COM
"SANDERS, BERNARD",DEM,CAN
NATIONAL NURSES UNITED FOR PATIENT PROTECTION,UNK,COM
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,UNK,COM
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,UNK,COM
"KASICH, JOHN R",REP,CAN
NEW DAY FOR AMERICA,UNK,COM
NEW DAY INDEPENDENT MEDIA COMMITTEE INC,UNK,COM
NEXTGEN CALIFORNIA ACTION COMMITTEE,UNK,COM
NEXTGEN CLIMATE ACTION COMMITTEE,UNK,COM
UNITED WE CAN,UNK,COM
OUR PRINCIPLES PAC,UNK,COM
PLANNED PARENTHOOD VOTES,UNK,COM
WOMEN VOTE!,UNK,COM
REBUILDING AMERICA NOW,UNK,COM
REPUBLICAN NATIONAL COMMITTEE,REP,COM
RGA RIGHT DIRECTION PAC,UNK,COM
"BUSH, JEB",REP,CAN
RIGHT TO RISE USA,UNK,COM
SAVE AMERICA FROM ITS GOVERNMENT,UNK,COM
"GRAHAM, LINDSEY O",REP,COM
SECURITY IS STRENGTH PAC,UNK,COM
GRANITE STATE SOLUTIONS,UNK,COM
SENATE LEADERSHIP FUND,UNK,COM
"STAND FORTRUTH, INC.",UNK,COM
STOP HILLARY PAC,UNK,COM
TEA PARTY MAJORITY FUND,UNK,COM
"CARSON, BENJAMIN S SR MD",REP,CAN
THE 2016 COMMITTEE,UNK,COM
TRUSTED LEADERSHIP PAC,UNK,COM
WORKING FOR WORKING AMERICANS - FEDERAL,UNK,COM
SENATE MAJORITY PAC,UNK,COM
