from_name,to_name,amt
SERVICE EMPLOYEES INTERNATIONAL UNION PEA-FEDERAL,FLORIDA FREEDOM PAC,9
SERVICE EMPLOYEES INTERNATIONAL UNION PEA-FEDERAL,"OBAMA, BARACK",20
SUPER PAC FOR AMERICA,"ROMNEY, MITT / RYAN, PAUL D. ",2
THE 60 PLUS ASSOCIATION,"ROMNEY, MITT / RYAN, PAUL D. ",7
UAW EDUCATION FUND,PRIORITIES USA ACTION,2
WINNING OUR FUTURE,"GINGRICH, NEWT",32
WINNING OUR FUTURE,"OBAMA, BARACK",10
WORKERS' VOICE,"OBAMA, BARACK",7
WORKING FOR WORKING AMERICANS - FEDERAL,HOUSE MAJORITY PAC,2
WORKING FOR WORKING AMERICANS - FEDERAL,MAJORITY PAC,5
