from_name,to_name,amt
AMERICA'S NEXT GENERATION LLC D/B/A THE NEXT GENERATION,"ROMNEY, MITT / RYAN, PAUL D. ",6
AMERICAN CROSSROADS,"ROMNEY, MITT / RYAN, PAUL D. ",227
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,"OBAMA, BARACK",2
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,"OBAMA, BARACK",3
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",MAJORITY PAC,5
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",PRIORITIES USA ACTION,3
AMERICAN FUTURE FUND,"ROMNEY, MITT / RYAN, PAUL D. ",49
AMERICANS FOR JOB SECURITY,"ROMNEY, MITT / RYAN, PAUL D. ",38
AMERICANS FOR PROSPERITY,"ROMNEY, MITT / RYAN, PAUL D. ",83
AMERICANS FOR RESPONSIBLE LEADERSHIP,"ROMNEY, MITT / RYAN, PAUL D. ",21
CONSERVATIVE CAMPAIGN COMMITTEE,"ROMNEY, MITT / RYAN, PAUL D. ",3
CONSERVATIVE MAJORITY FUND,"ROMNEY, MITT / RYAN, PAUL D. ",7
CROSSROADS GRASSROOTS POLICY STRATEGIES,"ROMNEY, MITT / RYAN, PAUL D. ",55
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,"OBAMA, BARACK",52
ENDING SPENDING ACTION FUND,"ROMNEY, MITT / RYAN, PAUL D. ",24
"ENDORSE LIBERTY, INC","PAUL, RON",8
ENVIRONMENT AMERICA ACTION FUND,FAIR SHARE ACTION,4
FAIR SHARE ACTION,"OBAMA, BARACK",5
FLORIDA FREEDOM PAC,"OBAMA, BARACK",6
FOCUS ON THE FAMILY ACTION,"ROMNEY, MITT / RYAN, PAUL D. ",3
FRIENDS OF JOHN BOEHNER,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,17
FRIENDS OF SCHUMER,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2
HELLER FOR CONGRESS,HELLER FOR SENATE,2
HOYER FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM,PRIORITIES USA ACTION,2
KEVIN MCCARTHY FOR CONGRESS,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,3
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC,MAJORITY PAC,2
LCV VICTORY FUND,"OBAMA, BARACK",2
LEAGUE OF CONSERVATION VOTERS INC,"OBAMA, BARACK",2
LOCAL VOICES,"OBAMA, BARACK",3
"MAKE US GREAT AGAIN, INC","PERRY, JAMES R (RICK)",9
NANCY PELOSI FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2
NARAL Pro-Choice America,"OBAMA, BARACK",2
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,PRIORITIES USA ACTION,3
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,"ROMNEY, MITT / RYAN, PAUL D. ",7
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,"ROMNEY, MITT / RYAN, PAUL D. ",35
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,"ROMNEY, MITT / RYAN, PAUL D. ",2
OUR DESTINY PAC,"HUNTSMAN, JON",7
PLANNED PARENTHOOD ACTION FUND INC,"OBAMA, BARACK",14
PLANNED PARENTHOOD VOTES,"OBAMA, BARACK",8
PRIORITIES USA ACTION,"OBAMA, BARACK",163
RED WHITE AND BLUE FUND,"SANTORUM, RICHARD J.",16
REPUBLICAN JEWISH COALITION,"ROMNEY, MITT / RYAN, PAUL D. ",11
REPUBLICAN JEWISH COALITION VICTORY FUND,"ROMNEY, MITT / RYAN, PAUL D. ",4
REPUBLICAN MAJORITY CAMPAIGN,"ROMNEY, MITT / RYAN, PAUL D. ",5
REPUBLICAN NATIONAL COMMITTEE,"ROMNEY, MITT / RYAN, PAUL D. ",162
REPUBLICAN UNION PAC,"ROMNEY, MITT / RYAN, PAUL D. ",2
RESTORE AMERICA'S VOICE PAC,"ROMNEY, MITT / RYAN, PAUL D. ",4
"RESTORE OUR FUTURE, INC.","GINGRICH, NEWT",46
"RESTORE OUR FUTURE, INC.","ROMNEY, MITT / RYAN, PAUL D. ",256
"RESTORE OUR FUTURE, INC.","SANTORUM, RICHARD J.",52
RIGHTCHANGE.COM INC (527 POLITICAL ORG),"ROMNEY, MITT / RYAN, PAUL D. ",3
ROGER WILLIAMS FOR US SENATE COMMITTEE,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,2
RYAN FOR CONGRESS,REPUBLICAN NATIONAL COMMITTEE,2
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),"OBAMA, BARACK",13
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),PRIORITIES USA ACTION,2
