id,aff,type
"ROMNEY, MITT / RYAN, PAUL D. ",REP,CAN
AMERICA'S NEXT GENERATION LLC D/B/A THE NEXT GENERATION,UNK,COM
AMERICAN CROSSROADS,UNK,COM
"OBAMA, BARACK",DEM,CAN
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,UNK,COM
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,UNK,COM
MAJORITY PAC,UNK,COM
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",UNK,COM
PRIORITIES USA ACTION,UNK,COM
AMERICAN FUTURE FUND,UNK,COM
AMERICANS FOR JOB SECURITY,UNK,COM
AMERICANS FOR PROSPERITY,UNK,COM
AMERICANS FOR RESPONSIBLE LEADERSHIP,UNK,COM
CONSERVATIVE CAMPAIGN COMMITTEE,UNK,COM
CONSERVATIVE MAJORITY FUND,UNK,COM
CROSSROADS GRASSROOTS POLICY STRATEGIES,UNK,COM
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,DEM,COM
ENDING SPENDING ACTION FUND,UNK,COM
"PAUL, RON",REP,CAN
"ENDORSE LIBERTY, INC",UNK,COM
FAIR SHARE ACTION,UNK,COM
ENVIRONMENT AMERICA ACTION FUND,UNK,COM
FLORIDA FREEDOM PAC,UNK,COM
FOCUS ON THE FAMILY ACTION,UNK,COM
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,REP,COM
FRIENDS OF JOHN BOEHNER,REP,COM
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,DEM,COM
FRIENDS OF SCHUMER,DEM,COM
HELLER FOR SENATE,REP,COM
HELLER FOR CONGRESS,REP,COM
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,COM
HOYER FOR CONGRESS,DEM,COM
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM,UNK,COM
KEVIN MCCARTHY FOR CONGRESS,REP,COM
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC,UNK,COM
LCV VICTORY FUND,UNK,COM
LEAGUE OF CONSERVATION VOTERS INC,UNK,COM
LOCAL VOICES,UNK,COM
"PERRY, JAMES R (RICK)",REP,COM
"MAKE US GREAT AGAIN, INC",UNK,COM
NANCY PELOSI FOR CONGRESS,DEM,COM
NARAL Pro-Choice America,UNK,COM
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,UNK,COM
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,UNK,COM
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,UNK,COM
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,UNK,COM
"HUNTSMAN, JON",REP,COM
OUR DESTINY PAC,UNK,COM
PLANNED PARENTHOOD ACTION FUND INC,UNK,COM
PLANNED PARENTHOOD VOTES,UNK,COM
"SANTORUM, RICHARD J.",REP,COM
RED WHITE AND BLUE FUND,UNK,COM
REPUBLICAN JEWISH COALITION,UNK,COM
REPUBLICAN JEWISH COALITION VICTORY FUND,UNK,COM
REPUBLICAN MAJORITY CAMPAIGN,UNK,COM
REPUBLICAN NATIONAL COMMITTEE,REP,COM
REPUBLICAN UNION PAC,UNK,COM
RESTORE AMERICA'S VOICE PAC,UNK,COM
"GINGRICH, NEWT",REP,CAN
"RESTORE OUR FUTURE, INC.",UNK,COM
RIGHTCHANGE.COM INC (527 POLITICAL ORG),UNK,COM
ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,REP,COM
ROGER WILLIAMS FOR US SENATE COMMITTEE,UNK,COM
RYAN FOR CONGRESS,REP,COM
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),UNK,COM
SERVICE EMPLOYEES INTERNATIONAL UNION PEA-FEDERAL,UNK,COM
SUPER PAC FOR AMERICA,UNK,COM
THE 60 PLUS ASSOCIATION,UNK,COM
UAW EDUCATION FUND,UNK,COM
WINNING OUR FUTURE,UNK,COM
WORKERS' VOICE,UNK,COM
HOUSE MAJORITY PAC,UNK,COM
WORKING FOR WORKING AMERICANS - FEDERAL,UNK,COM
