from_name,to_name,amt
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,"MCCAIN, JOHN S.",6
NORTH CAROLINA REPUBLICAN EXECUTIVE COMMITTEE,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,3
NORTH CAROLINA REPUBLICAN EXECUTIVE COMMITTEE,REPUBLICAN NATIONAL COMMITTEE,2
OUR COUNTRY DESERVES BETTER PAC,"MCCAIN, JOHN S.",14
PEARCE FOR CONGRESS,PEOPLE FOR PEARCE,1
PROGRESSIVE FUTURE INCORPORATED,"OBAMA, BARACK",6
PUTNAM FOR CONGRESS,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
RANGEL FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,4
REPUBLICAN MAJORITY CAMPAIGN,"CLINTON, HILLARY RODHAM",1
REPUBLICAN MAJORITY CAMPAIGN,"MCCAIN, JOHN S.",8
REPUBLICAN NATIONAL COMMITTEE,"MCCAIN, JOHN S.",243
SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE),"OBAMA, BARACK",108
TEXANS FOR SENATOR JOHN CORNYN INC,REPUBLICAN PARTY OF TEXAS,1
UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),"OBAMA, BARACK",14
UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APP,"OBAMA, BARACK",2
UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB,"OBAMA, BARACK",2
VAN HOLLEN FOR CONGRESS,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2
WALLY HERGER FOR CONGRESS COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,2
