2011820131179021510	2500	JCM PROPERTIES LP PAC	ROMNEY, MITT / RYAN, PAUL D. 
2012220131179028413	1332	GRASSROOTS EAST - FEDERAL	ROMNEY, MITT / RYAN, PAUL D. 
2012220131179043744	2000	BLUE CROSS AND BLUE SHIELD OF KANSAS CITY FEDERAL PAC	ROMNEY, MITT / RYAN, PAUL D. 
2012220131179043832	3000	LONE ROCK TIMBER MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (LONE ROCK PAC)	ROMNEY, MITT / RYAN, PAUL D. 
2012220131179043840	2500	SCOULAR COMPANY FUND FOR EFFECTIVE GOVERNMENT	ROMNEY, MITT / RYAN, PAUL D. 
2012520131179275297	1359	MANISTEE COUNTY DEMOCRATIC COMMITTEE	OBAMA, BARACK
2012820131179346392	91552	UAW NATIONAL CAP	OBAMA, BARACK
2012820131179346393	6277	UAW NATIONAL CAP	OBAMA, BARACK
2012820131179346406	4514	UAW NATIONAL CAP	OBAMA, BARACK
2012820131179346409	70095	UAW NATIONAL CAP	OBAMA, BARACK
2012820131179346411	54640	UAW NATIONAL CAP	OBAMA, BARACK
2012820131179346414	4732	UAW NATIONAL CAP	OBAMA, BARACK
2012820131179346415	11752	UAW NATIONAL CAP	OBAMA, BARACK
2013020131180360374	60318	INTERNATIONAL UNION OF OPERATING ENGINEERS	OBAMA, BARACK
2013020131180360423	1740	PENNSYLVANIA STATE EDUCATION ASSOCIATION	ROMNEY, MITT / RYAN, PAUL D. 
2013020131180360426	2610	PENNSYLVANIA STATE EDUCATION ASSOCIATION	OBAMA, BARACK
2013020131180360440	8606	PENNSYLVANIA STATE EDUCATION ASSOCIATION	OBAMA, BARACK
2013020131180360444	15670	PENNSYLVANIA STATE EDUCATION ASSOCIATION	OBAMA, BARACK
2022020131183699915	2000	CAMPBELL FOR COLORADO	ROMNEY, MITT / RYAN, PAUL D. 
2022120131183752865	3099	ALAN AND MARYANN BRINK	ROMNEY, MITT / RYAN, PAUL D. 
2022120131183752890	4033	SEIU WA STATE COUNCIL	OBAMA, BARACK
2022120131183752942	1100	INDEPENDENCE HALL TEA PARTY PAC	ROMNEY, MITT / RYAN, PAUL D. 
2022120131183752943	2109	INDEPENDENCE HALL TEA PARTY PAC	ROMNEY, MITT / RYAN, PAUL D. 
2022120131183752953	4168	SELECT OUR AMERICA	ROMNEY, MITT / RYAN, PAUL D. 
